grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
3,4,2.479697839326994,1.2446415424346924,1.2399873733520508,33,43,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0003_fold4,1.2399873733520508,2.477011203765869,1.5738523449694604,0.6248524188995361,35.376453,TabNetRegressor,8,8,7
3,5,2.5792042958050274,1.2770496606826782,1.2224727869033813,11,21,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0003_fold5,1.2224727869033813,2.350800037384033,1.5332318928929287,0.6795684099197388,34.923557,TabNetRegressor,8,8,7
4,1,2.5126383661094076,1.3033676147460938,1.276094913482666,5,15,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold1,1.276094913482666,2.518947124481201,1.5871191273755103,0.6700757741928101,35.44109,TabNetRegressor,8,32,3
4,2,2.5376111458822677,1.2475160360336304,1.2346012592315674,13,23,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold2,1.2346012592315674,2.46879243850708,1.571239141094404,0.660378098487854,34.12761,TabNetRegressor,8,32,3
4,3,2.5344522606075426,1.2392786741256714,1.2296148538589478,21,31,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold3,1.2296148538589478,2.4317688941955566,1.559412996673927,0.6659959554672241,33.367188,TabNetRegressor,8,32,3
4,4,3.2861512476929,1.3765029907226562,1.245072841644287,18,28,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold4,1.245072841644287,2.4072086811065674,1.551518185876842,0.6354241371154785,34.934887,TabNetRegressor,8,32,3
4,5,2.6380898582081844,1.248064637184143,1.2398054599761963,17,27,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0004_fold5,1.2398054599761963,2.4800729751586914,1.5748247442679746,0.6619476079940796,35.842434,TabNetRegressor,8,32,3
5,1,2.422057493173463,1.297019124031067,1.275146722793579,16,26,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold1,1.275146722793579,2.5511491298675537,1.5972317082588718,0.6658580303192139,36.07494,TabNetRegressor,8,32,5
5,2,2.6061555967423544,1.28023362159729,1.2400517463684082,5,15,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold2,1.2400517463684082,2.4184815883636475,1.555146806048756,0.6672991514205933,34.865547,TabNetRegressor,8,32,5
5,3,2.4565527647214136,1.2457027435302734,1.2306612730026245,40,50,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0005_fold3,1.2306612730026245,2.3988351821899414,1.5488173495250954,0.6705193519592285,34.169193,TabNetRegressor,8,32,5
