grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,hidden_features,dropout,activation
6,4,1.5742698543107332,1.476746885215535,1.4764099191216862,56,66,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0006_fold4.pt,1.4791661500930786,5.015103816986084,2.2394427469765965,0.24045389890670776,38.86376,SimpleMLP,64,0.4,Tanh
6,5,1.537426724362729,1.4522970038301803,1.4226342544836157,98,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0006_fold5.pt,1.454107403755188,4.908926486968994,2.215609732549709,0.33087676763534546,42.981606,SimpleMLP,64,0.4,Tanh
7,1,1.3292673532642536,1.3423953512135673,1.3367376853437984,49,59,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold1.pt,1.332302212715149,2.9027111530303955,1.70373447257206,0.619811475276947,37.997513,SimpleMLP,128,0.2,ReLU
7,2,1.3582535519528744,1.4132386218099033,1.288233550155864,52,62,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold2.pt,1.2919672727584839,2.665374755859375,1.6325975486504245,0.6333351135253906,37.03924,SimpleMLP,128,0.2,ReLU
7,3,1.3323951692723517,1.3262558982652777,1.2594694845816667,60,70,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold3.pt,1.2667309045791626,2.5424344539642334,1.5945013182698324,0.6507959961891174,37.453945,SimpleMLP,128,0.2,ReLU
7,4,1.3384864641659295,1.297446261433994,1.2772791666143082,48,58,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold4.pt,1.2785745859146118,2.6276769638061523,1.6210110930546258,0.6020338535308838,35.721558,SimpleMLP,128,0.2,ReLU
7,5,1.3361009715208367,1.2509618752142961,1.242121629855212,61,71,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0007_fold5.pt,1.2442307472229004,2.4717724323272705,1.572187149269218,0.663079023361206,35.451927,SimpleMLP,128,0.2,ReLU
8,1,1.3474450858671274,1.361297558335697,1.3401528106016272,72,82,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold1.pt,1.3367559909820557,2.9145185947418213,1.7071961207611213,0.6182650327682495,38.51826,SimpleMLP,128,0.3,ReLU
8,2,1.3314024316730784,1.276435003561132,1.2750892639160156,96,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold2.pt,1.2811638116836548,2.6843039989471436,1.638384569918535,0.6307311058044434,36.203022,SimpleMLP,128,0.3,ReLU
8,3,1.353851995361385,1.277301195789786,1.2653755808577818,66,76,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0008_fold3.pt,1.2719782590866089,2.585737705230713,1.608022918129811,0.6448482871055603,36.850822,SimpleMLP,128,0.3,ReLU
